岗位id,岗位名称,岗位类别,公司名称,公司规模,公司类型,所属城市,要求学历,要求经历,最低薪资,最高薪资,平均薪资,要求技能,岗位描述,岗位要求,发布日期,浏览量,申请数,industry
JOB136248,产品经理,产品,海康威视,20-99人,房地产,北京,大专,5-10年,19846,32251,26048,"原型设计,数据分析,需求分析,Figma,PRD文档,用户研究","编写产品需求文档（PRD）
跟踪产品上线后的数据表现
负责产品经理的产品规划和设计","具备良好的产品思维和用户洞察力
大专及以上学历
有相关行业产品经验者优先
5-10年以上产品经理经验",2026/2/15,3199,43,business
JOB438647,动效设计师,设计,当当网,20-99人,互联网,长沙,硕士,3-5年,12706,20647,16676,"Sketch,C4D,After Effects,Adobe XD","根据需求进行创意设计和视觉表现
制作设计稿和交互原型
与产品、开发团队协作","具备良好的沟通理解能力
熟练使用设计软件和工具
3-5年以上设计经验
具备良好的审美能力和创意思维",2026/3/4,2101,123,business
JOB315386,UI设计,设计,中通,100-499人,互联网,杭州,不限,不限,8353,13574,10963,"Photoshop,Adobe XD,C4D,Figma,Sketch,After Effects","与产品、开发团队协作
持续优化设计质量和用户体验
根据需求进行创意设计和视觉表现","熟练使用设计软件和工具
不限及以上学历，设计相关专业优先
不限以上设计经验
具备良好的沟通理解能力",2026/2/17,183,175,business
JOB432799,品牌经理,市场,宁德时代,20-99人,制造业,上海,大专,应届生,6005,9759,7882,"市场调研,公关,品牌推广,营销策划","拓展市场渠道和合作伙伴
组织市场活动和品牌宣传
分析市场动态和竞争对手","应届生以上市场推广经验
大专及以上学历
具备市场策划和执行能力
具备良好的商务谈判能力",2026/3/6,579,81,business
JOB812991,UX设计师,产品,海尔,0-20人,物流,广州,不限,不限,6721,10923,8822,"数据分析,Figma,产品设计,Axure,PRD文档","跟踪产品上线后的数据表现
协调开发、设计、测试等团队资源
进行用户调研和需求分析","不限及以上学历
具备良好的产品思维和用户洞察力
有相关行业产品经验者优先
不限以上产品经理经验",2026/2/4,2039,181,business
JOB793476,品牌经理,市场,360,500-999人,互联网,杭州,博士,5-10年,37409,60790,49099,"渠道拓展,品牌推广,营销策划","分析市场动态和竞争对手
拓展市场渠道和合作伙伴
负责品牌经理相关的市场推广工作","具备良好的商务谈判能力
有相关行业资源者优先
博士及以上学历
熟悉各类营销渠道和推广方式",2026/2/21,2132,95,business
JOB472008,UI设计师,产品,比亚迪,500-999人,能源,北京,博士,3-5年,30220,49107,39663,"Axure,原型设计,产品设计","跟踪产品上线后的数据表现
编写产品需求文档（PRD）
协调开发、设计、测试等团队资源","有相关行业产品经验者优先
博士及以上学历
具备良好的产品思维和用户洞察力
具备优秀的沟通协调能力",2026/2/24,569,195,business
JOB744902,内容运营,运营,大华股份,10000人以上,教育,上海,硕士,1-3年,11525,18728,15126,"社群运营,内容策划,SEM","分析运营数据，优化运营效果
制定运营策略和执行计划
负责内容运营相关的运营工作","熟悉新媒体运营和内容策划
1-3年以上运营经验
具备良好的文案写作能力
有成功运营案例者优先",2026/2/6,3439,24,business
JOB219039,DevOps工程师,技术,京东,20-99人,零售,深圳,大专,1-3年,11481,18657,15069,"React,TensorFlow,微服务","参与需求分析、系统设计、编码实现和测试
负责DevOps工程师相关的系统设计和开发工作
参与技术方案评审，解决技术难题","大专及以上学历，计算机相关专业优先
有大型项目经验者优先
具备良好的编程基础和算法能力
熟悉相关技术栈和开发工具",2026/3/4,1379,154,business
JOB216815,产品总监,产品,宁德时代,1000-9999人,物流,深圳,博士,3-5年,27011,43894,35452,"PRD文档,Axure,数据分析","进行用户调研和需求分析
跟踪产品上线后的数据表现
编写产品需求文档（PRD）","具备良好的产品思维和用户洞察力
3-5年以上产品经理经验
熟练使用Axure、Figma等设计工具
博士及以上学历",2026/3/6,1669,147,business
JOB791532,公关经理,市场,360,500-999人,物流,深圳,本科,不限,8290,13472,10881,"品牌推广,市场调研,BD,渠道拓展,公关,营销策划","组织市场活动和品牌宣传
负责公关经理相关的市场推广工作
分析市场动态和竞争对手","本科及以上学历
不限以上市场推广经验
具备市场策划和执行能力
具备良好的商务谈判能力",2026/2/18,4426,178,business
JOB242552,3D设计师,设计,爱奇艺,1000-9999人,金融,南京,不限,1-3年,7124,11577,9350,"After Effects,Photoshop,Sketch,Figma,Illustrator","持续优化设计质量和用户体验
与产品、开发团队协作
负责3D设计师相关的设计工作","具备良好的沟通理解能力
不限及以上学历，设计相关专业优先
1-3年以上设计经验
熟练使用设计软件和工具",2026/2/8,2954,191,business
JOB528009,BD经理,市场,美团,10000人以上,零售,南京,博士,应届生,8628,14022,11325,"渠道拓展,公关,市场调研","拓展市场渠道和合作伙伴
负责BD经理相关的市场推广工作
组织市场活动和品牌宣传","博士及以上学历
应届生以上市场推广经验
熟悉各类营销渠道和推广方式
具备市场策划和执行能力",2026/2/23,2903,121,business
JOB871801,运营专员,运营,大华股份,10000人以上,医疗,广州,硕士,不限,10079,16379,13229,"活动策划,内容策划,新媒体,SEM,SEO","维护用户关系，提升用户活跃度
负责运营专员相关的运营工作
制定运营策略和执行计划","不限以上运营经验
有成功运营案例者优先
具备数据分析能力和运营思维
具备良好的文案写作能力",2026/2/20,797,184,business
JOB326403,UX设计师,产品,联想,500-999人,医疗,西安,大专,1-3年,5962,9689,7825,"PRD文档,数据分析,Axure","编写产品需求文档（PRD）
进行用户调研和需求分析
跟踪产品上线后的数据表现","熟练使用Axure、Figma等设计工具
具备优秀的沟通协调能力
具备良好的产品思维和用户洞察力
大专及以上学历",2026/2/19,4561,179,business
JOB879341,后端开发工程师,技术,新浪,10000人以上,制造业,南京,大专,10年以上,20595,33467,27031,"NumPy,TensorFlow,Hadoop,React,微服务,高并发","持续优化系统性能和用户体验
负责后端开发工程师相关的系统设计和开发工作
参与技术方案评审，解决技术难题","有大型项目经验者优先
具备良好的沟通能力和团队协作精神
大专及以上学历，计算机相关专业优先
10年以上以上相关工作经验",2026/2/20,4538,100,business
JOB920539,行政专员,职能,字节跳动,100-499人,金融,南京,本科,10年以上,17727,28807,23267,"绩效考核,沟通协调,薪酬管理,PPT","协调各部门之间的沟通
协助部门完成日常管理工作
整理和归档相关文件资料","熟练使用办公软件
10年以上以上相关工作经验
工作认真负责，细致耐心
具备良好的沟通协调能力",2026/2/11,2926,18,business
JOB861987,产品助理,产品,大华股份,500-999人,零售,成都,大专,5-10年,13751,22346,18048,"产品设计,数据分析,Axure,Figma,PRD文档","进行用户调研和需求分析
协调开发、设计、测试等团队资源
负责产品助理的产品规划和设计","具备良好的产品思维和用户洞察力
熟练使用Axure、Figma等设计工具
大专及以上学历
具备优秀的沟通协调能力",2026/2/10,1993,47,business
JOB147003,视觉设计,设计,携程,500-999人,互联网,深圳,大专,1-3年,7240,11765,9502,"3D Max,C4D,After Effects,Photoshop,Illustrator","持续优化设计质量和用户体验
与产品、开发团队协作
负责视觉设计相关的设计工作","熟练使用设计软件和工具
1-3年以上设计经验
具备良好的审美能力和创意思维
大专及以上学历，设计相关专业优先",2026/3/5,3460,40,business
JOB631469,UI设计,设计,云从科技,500-999人,互联网,苏州,大专,10年以上,19078,31003,25040,"Photoshop,Adobe XD,Sketch,After Effects,3D Max,Illustrator","根据需求进行创意设计和视觉表现
制作设计稿和交互原型
负责UI设计相关的设计工作","熟练使用设计软件和工具
具备良好的沟通理解能力
具备良好的审美能力和创意思维
有优秀作品集者优先",2026/2/18,2196,94,business
JOB865314,产品助理,产品,旷视科技,500-999人,金融,长沙,不限,不限,4242,6893,5567,"Axure,Figma,用户研究,数据分析","协调开发、设计、测试等团队资源
进行用户调研和需求分析
跟踪产品上线后的数据表现","熟练使用Axure、Figma等设计工具
具备优秀的沟通协调能力
有相关行业产品经验者优先
不限及以上学历",2026/3/1,4143,66,business
JOB534572,出纳,职能,云从科技,20-99人,教育,广州,博士,5-10年,23512,38207,30859,"培训,沟通协调,薪酬管理","协助部门完成日常管理工作
完成上级交办的其他任务
整理和归档相关文件资料","工作认真负责，细致耐心
熟练使用办公软件
博士及以上学历
具备良好的沟通协调能力",2026/2/27,1094,121,business
JOB864715,会计,职能,依图科技,500-999人,金融,成都,博士,5-10年,18743,30457,24600,"PPT,招聘,培训,Excel","协调各部门之间的沟通
协助部门完成日常管理工作
整理和归档相关文件资料","5-10年以上相关工作经验
博士及以上学历
工作认真负责，细致耐心
有相关行业经验者优先",2026/2/20,4560,113,business
JOB857069,公关经理,市场,爱奇艺,20-99人,制造业,北京,博士,3-5年,31613,51372,41492,"渠道拓展,营销策划,BD,市场调研,品牌推广,媒介投放","制定市场推广策略和计划
负责公关经理相关的市场推广工作
分析市场动态和竞争对手","具备市场策划和执行能力
有相关行业资源者优先
博士及以上学历
3-5年以上市场推广经验",2026/2/21,2639,169,business
JOB239046,动效设计师,设计,新浪,20-99人,零售,重庆,博士,3-5年,19880,32305,26092,"Sketch,Figma,3D Max,Illustrator,Photoshop","根据需求进行创意设计和视觉表现
制作设计稿和交互原型
与产品、开发团队协作","熟练使用设计软件和工具
具备良好的审美能力和创意思维
有优秀作品集者优先
具备良好的沟通理解能力",2026/3/3,1031,52,business
JOB620507,UI设计,设计,大疆创新,100-499人,教育,天津,本科,1-3年,7002,11378,9190,"Sketch,Figma,3D Max","持续优化设计质量和用户体验
制作设计稿和交互原型
与产品、开发团队协作","具备良好的审美能力和创意思维
具备良好的沟通理解能力
本科及以上学历，设计相关专业优先
熟练使用设计软件和工具",2026/3/4,334,62,business
JOB219946,视觉设计,设计,快手,1000-9999人,其他,南京,硕士,3-5年,13110,21304,17207,"Sketch,After Effects,Photoshop","持续优化设计质量和用户体验
负责视觉设计相关的设计工作
根据需求进行创意设计和视觉表现","具备良好的沟通理解能力
熟练使用设计软件和工具
有优秀作品集者优先
具备良好的审美能力和创意思维",2026/2/28,722,156,business
JOB242228,UI设计师,产品,海尔,1000-9999人,制造业,深圳,博士,5-10年,34277,55700,44988,"产品设计,数据分析,Figma","协调开发、设计、测试等团队资源
跟踪产品上线后的数据表现
进行用户调研和需求分析","5-10年以上产品经理经验
具备优秀的沟通协调能力
具备良好的产品思维和用户洞察力
熟练使用Axure、Figma等设计工具",2026/2/15,482,104,business
JOB383554,市场专员,市场,新浪,1000-9999人,能源,西安,本科,应届生,3357,5456,4406,"公关,营销策划,媒介投放,市场调研,品牌推广,渠道拓展","制定市场推广策略和计划
负责市场专员相关的市场推广工作
组织市场活动和品牌宣传","应届生以上市场推广经验
熟悉各类营销渠道和推广方式
有相关行业资源者优先
本科及以上学历",2026/2/23,2793,5,business
JOB114355,运营专员,运营,爱奇艺,10000人以上,制造业,重庆,硕士,不限,5741,9329,7535,"社群运营,SEO,活动策划,用户增长,SEM,新媒体","制定运营策略和执行计划
分析运营数据，优化运营效果
策划和执行线上线下活动","有成功运营案例者优先
具备良好的文案写作能力
熟悉新媒体运营和内容策划
硕士及以上学历",2026/2/21,4014,13,business
JOB345587,交互设计,设计,格力,0-20人,零售,长沙,不限,5-10年,14165,23019,18592,"Adobe XD,Illustrator,Figma,Photoshop,3D Max","根据需求进行创意设计和视觉表现
持续优化设计质量和用户体验
制作设计稿和交互原型","熟练使用设计软件和工具
不限及以上学历，设计相关专业优先
5-10年以上设计经验
有优秀作品集者优先",2026/2/9,2497,116,business
