条目id,客户年龄,职业,婚姻情况,教育情况,信用卡是否违约,是否有房贷,联系方式,上一次联系的月份,上一次联系的星期几,上一次联系的时长（秒）,活动期间联系客户的次数,上一次与客户联系后的间隔天数,在本次营销活动前，与客户联系的次数,之前营销活动的结果,就业变动率,消费者价格指数,消费者信心指数,银行同业拆借率 3个月利率,雇员人数,客户是否进行购买,industry
6449,73,unknown,unknown,basic.6y,yes,unknown,cellular,apr,fri,275,54,974,0,nonexistent,1.4,92.5,-41.46,4.83,5484.27,yes,financial
2223,58,housemaid,married,basic.4y,no,no,telephone,may,wed,4319,1,438,3,failure,1.1,89.35,-29.79,4.17,5126.56,no,financial
20058,45,unemployed,divorced,high.school,unknown,yes,telephone,may,fri,70,14,983,0,nonexistent,1.1,90.7,-36.9,4.64,5429.78,no,financial
18948,46,admin.,married,basic.6y,no,yes,cellular,jul,fri,2233,0,729,3,failure,1.4,98.32,-46.61,3.54,5334.08,no,financial
7683,32,admin.,single,university.degree,no,yes,telephone,oct,tue,737,1,707,5,success,-0.1,90.09,-49.45,2.77,5322.48,yes,financial
9996,20,student,single,high.school,no,yes,telephone,jun,tue,29,1,13,2,success,-1.7,93.3,-40.03,0.74,4826.87,no,financial
22356,30,technician,single,professional.course,no,no,cellular,may,thu,252,0,1008,0,nonexistent,-1.8,93.45,-45.32,1.23,4946.12,no,financial
14433,25,technician,single,professional.course,no,yes,cellular,apr,mon,2463,3,858,0,success,-1.8,89.29,-27.15,4.62,5267.39,no,financial
11710,32,admin.,married,high.school,no,yes,cellular,sep,thu,1720,0,939,3,nonexistent,-1.1,92.25,-47.84,2.52,4995.12,yes,financial
200,50,housemaid,divorced,basic.4y,no,no,telephone,jun,wed,1266,0,918,1,failure,1.4,92.71,-27.5,1.92,4865.43,no,financial
10109,54,admin.,divorced,university.degree,no,unknown,cellular,may,wed,163,1,973,0,nonexistent,-1.8,90.84,-47.35,1.25,5083.8,no,financial
3975,42,technician,married,professional.course,no,no,telephone,jun,thu,116,1,978,0,nonexistent,1.4,95.78,-40.04,4.85,5076.48,no,financial
2005,54,entrepreneur,married,unknown,unknown,no,cellular,jul,thu,866,4,301,6,nonexistent,1.4,94.88,-41.04,4.5,4880.2,no,financial
6163,42,services,married,professional.course,no,no,cellular,nov,thu,206,2,961,0,nonexistent,-0.1,89.19,-43.76,4.08,4972.38,no,financial
18522,31,admin.,single,university.degree,no,yes,cellular,jul,tue,1960,1,159,1,nonexistent,1.4,95.36,-46.09,3.47,5045.61,no,financial
6395,37,blue-collar,married,basic.9y,no,yes,telephone,may,tue,495,1,376,5,success,1.1,90.71,-48.08,1.03,4804.22,no,financial
2091,51,technician,married,high.school,no,yes,cellular,aug,wed,1810,1,728,1,failure,1.4,90.97,-31.51,1.46,5255.2,no,financial
857,28,self-employed,married,professional.course,no,no,telephone,jun,wed,472,1,586,1,failure,1.4,88.27,-34.38,3.93,5034.98,no,financial
2021,43,technician,married,professional.course,no,yes,cellular,aug,wed,1918,1,330,5,nonexistent,1.4,92.27,-29.97,2.52,5061.92,no,financial
9141,32,admin.,married,university.degree,no,yes,telephone,may,mon,185,1,1022,0,nonexistent,-1.8,95.49,-44.95,1.25,5328.55,no,financial
13574,37,student,married,illiterate,yes,yes,cellular,jun,fri,168,51,976,0,nonexistent,-1.8,88.34,-47.4,1.3,5246.97,yes,financial
14284,40,management,married,high.school,no,no,cellular,nov,fri,2029,2,181,5,success,-0.1,89.63,-34.77,1.5,5399.33,no,financial
8749,34,admin.,married,high.school,no,no,telephone,may,mon,306,4,308,0,failure,1.1,97.66,-37.99,4.75,5157.28,no,financial
7505,32,admin.,married,university.degree,no,yes,cellular,may,fri,153,0,1017,1,failure,-1.8,89.73,-45.87,1.32,4966.52,no,financial
19079,49,admin.,divorced,university.degree,no,yes,cellular,jul,fri,2432,1,748,2,failure,-2.9,90.84,-39.99,4.13,4980.17,yes,financial
5854,50,blue-collar,married,basic.6y,no,no,cellular,jul,wed,2492,1,666,2,success,1.4,98.08,-36.92,3.03,5144.98,no,financial
8774,28,blue-collar,married,basic.4y,no,yes,telephone,may,mon,3874,2,565,0,nonexistent,1.1,90.43,-33.88,1.11,5208.25,no,financial
5020,32,services,married,high.school,unknown,no,telephone,may,tue,1272,2,1008,0,nonexistent,1.1,96.62,-37.45,4.9,5133.89,no,financial
8767,35,management,married,unknown,no,no,cellular,nov,thu,1586,1,941,5,nonexistent,-0.1,90.97,-30.96,4.34,5361.8,no,financial
13294,78,retired,married,basic.9y,no,no,cellular,may,mon,4331,2,842,6,success,-1.8,98.23,-28.95,4.04,5032.95,no,financial
10937,39,admin.,married,high.school,no,no,cellular,may,thu,772,1,992,0,nonexistent,-1.8,94.1,-47.95,1.21,5032.81,no,financial
6562,34,unemployed,married,basic.9y,no,yes,cellular,may,mon,4359,6,407,3,success,-1.8,94.68,-46.12,3.05,4938.04,no,financial
8605,58,retired,married,basic.4y,unknown,yes,cellular,aug,tue,3134,8,980,2,success,1.4,95.14,-31.55,2.33,5430.76,no,financial
4549,51,blue-collar,married,basic.4y,unknown,unknown,telephone,may,thu,4086,0,916,1,success,1.1,90.38,-50.91,1.92,4844.78,no,financial
21520,43,blue-collar,married,basic.4y,unknown,yes,cellular,nov,mon,113,2,1028,0,nonexistent,-0.1,92.36,-43.55,4.04,5216.58,no,financial
4107,23,admin.,single,professional.course,no,yes,cellular,apr,thu,4000,5,960,0,success,-1.8,93.87,-38.71,1.03,4956.43,no,financial
2405,35,retired,married,illiterate,unknown,unknown,telephone,may,mon,1682,29,208,3,success,1.4,97.21,-33.86,3.62,5436.59,yes,financial
3965,29,technician,single,unknown,no,yes,telephone,may,mon,144,2,1014,0,nonexistent,1.1,96.15,-35.27,5.0,5253.29,no,financial
8478,34,unemployed,married,professional.course,no,yes,cellular,dec,mon,3553,1,883,1,nonexistent,-3.0,91.74,-31.05,2.42,4974.16,yes,financial
12965,60,retired,married,basic.4y,no,yes,cellular,aug,fri,160,0,14,1,success,-2.9,94.04,-31.8,0.88,4928.99,yes,financial
16823,28,technician,single,basic.6y,unknown,yes,telephone,may,thu,452,2,62,4,success,1.1,94.04,-28.4,1.94,5060.33,no,financial
8936,37,blue-collar,married,basic.6y,no,no,telephone,may,wed,178,1,950,0,nonexistent,1.1,97.28,-36.07,4.88,5409.02,no,financial
20862,31,blue-collar,single,basic.9y,no,no,cellular,jul,thu,54,1,978,0,nonexistent,1.4,97.01,-44.49,4.93,5374.48,no,financial
15391,42,entrepreneur,married,university.degree,no,no,telephone,may,thu,180,2,971,0,nonexistent,1.1,95.4,-38.22,4.68,5056.03,no,financial
135,27,services,single,high.school,no,yes,cellular,may,mon,2449,8,825,3,nonexistent,-1.8,96.72,-36.92,4.17,5157.84,no,financial
586,23,student,single,high.school,no,no,cellular,jun,wed,297,6,6,1,success,-1.7,91.42,-38.64,0.73,4826.87,yes,financial
15804,51,admin.,divorced,university.degree,no,yes,cellular,jul,mon,4739,2,493,3,failure,1.4,90.0,-35.96,4.83,5020.32,no,financial
12075,46,self-employed,married,university.degree,no,yes,cellular,aug,tue,29,13,996,0,nonexistent,1.4,98.02,-36.31,4.74,5013.74,no,financial
20348,49,blue-collar,married,basic.4y,unknown,no,telephone,may,wed,156,2,1040,0,nonexistent,1.1,92.86,-38.11,4.92,5206.57,no,financial
15305,37,blue-collar,married,basic.9y,no,no,telephone,may,wed,67,2,999,0,nonexistent,1.1,96.24,-37.6,4.82,5237.71,no,financial
6881,33,self-employed,married,basic.9y,unknown,yes,cellular,jul,thu,215,0,1030,0,nonexistent,1.4,97.29,-40.94,4.84,5316.97,no,financial
5571,46,technician,married,professional.course,no,no,telephone,may,thu,4640,2,163,3,success,1.1,94.06,-47.14,2.89,4790.19,no,financial
8058,36,blue-collar,married,basic.9y,unknown,no,cellular,jul,thu,54,1,902,6,failure,1.4,90.53,-41.25,0.7,5208.22,no,financial
11179,40,management,married,university.degree,no,yes,cellular,nov,tue,4940,1,386,3,failure,-0.1,92.45,-41.0,3.55,5077.25,no,financial
11326,31,blue-collar,single,basic.9y,no,no,cellular,jul,mon,709,2,301,1,success,1.4,97.61,-51.44,0.63,4898.58,no,financial
20322,30,management,single,university.degree,no,no,telephone,nov,thu,1130,4,244,2,failure,-0.1,96.73,-42.05,2.52,4866.11,no,financial
21707,27,entrepreneur,married,unknown,no,no,telephone,may,fri,304,3,339,6,nonexistent,1.1,91.87,-42.5,4.0,5391.71,no,financial
18918,43,blue-collar,married,basic.9y,no,yes,cellular,jul,thu,877,0,988,0,nonexistent,1.4,92.13,-43.51,4.77,5316.97,no,financial
9689,70,retired,married,university.degree,no,no,cellular,nov,thu,719,7,1003,0,nonexistent,-3.4,88.66,-30.79,0.73,4877.01,yes,financial
12539,41,technician,single,professional.course,no,yes,telephone,jun,wed,1701,3,957,3,success,1.4,92.51,-34.58,2.34,5008.36,no,financial
12368,40,unemployed,married,unknown,no,yes,telephone,aug,thu,272,6,1039,0,nonexistent,-2.9,89.43,-30.11,0.84,4923.91,no,financial
