分类代码,产品代码,批次号,序列号,扩展数据代码,industry
114,SEAL001,BATCH202314,SERIAL00014,G:HONDA001,industrial
308,LEAFSPR001,BATCH202340,SERIAL00040,B:250601,industrial
212,CONVERT001,BATCH202331,SERIAL00031,S:230501,industrial
401,STEERWHL001,BATCH202346,SERIAL00046,B:250701,industrial
118,VALVE001,BATCH202318,SERIAL00018,Z:CUST003,industrial
404,PUMP001,BATCH202349,SERIAL00049,S:230801,industrial
208,TRNSBRG001,BATCH202327,SERIAL00027,OEM:CLIENT005,industrial
207,TRANSM001,BATCH202326,SERIAL00026,G:MERC001,industrial
301,TIRE001,BATCH202333,SERIAL00033,OEM:CLIENT006,industrial
201,CLUTCH001,BATCH202320,SERIAL00020,G:BMW001,industrial
113,GASKET001,BATCH202313,SERIAL00013,S:230201,industrial
105,FUELTANK001,BATCH202305,SERIAL00005,Y:241231,industrial
306,SHOCK001,BATCH202338,SERIAL00038,G:NISSAN001,industrial
109,FILTER001,BATCH202309,SERIAL00009,OEM:CLIENT002,industrial
104,PISTNRG001,BATCH202304,SERIAL00004,B:250101,industrial
107,INJECTOR001,BATCH202307,SERIAL00007,S:230115,industrial
310,HUB001,BATCH202342,SERIAL00042,Z:CUST007,industrial
402,STEERBOX001,BATCH202347,SERIAL00047,Y:241223,industrial
403,TIEOD001,BATCH202348,SERIAL00048,Z:CUST008,industrial
116,SPARKPLUG001,BATCH202316,SERIAL00016,B:250201,industrial
110,ROD001,BATCH202310,SERIAL00010,B:250115,industrial
117,HVWIRE001,BATCH202317,SERIAL00017,Y:241228,industrial
206,CABLE001,BATCH202325,SERIAL00025,S:230401,industrial
303,BALWGT001,BATCH202335,SERIAL00035,Y:241225,industrial
213,DRIVESFT001,BATCH202332,SERIAL00032,G:AUDI001,industrial
101,ENG001,BATCH202301,SERIAL00001,S:230101,industrial
313,COILSPR001,BATCH202345,SERIAL00045,OEM:CLIENT008,industrial
209,GEAR001,BATCH202328,SERIAL00028,B:250401,industrial
302,WHEEL001,BATCH202334,SERIAL00034,B:250501,industrial
106,FUELPUMP001,BATCH202306,SERIAL00006,Z:CUST001,industrial
211,TRNSOIL001,BATCH202330,SERIAL00030,Z:CUST005,industrial
112,BELT001,BATCH202312,SERIAL00012,Z:CUST002,industrial
305,WHEELBOLT001,BATCH202337,SERIAL00037,S:230601,industrial
102,CYLHD001,BATCH202302,SERIAL00002,G:VW001,industrial
203,CLUTCHDSK001,BATCH202322,SERIAL00022,B:250301,industrial
103,PISTON001,BATCH202303,SERIAL00003,OEM:CLIENT001,industrial
312,KNUCKLE001,BATCH202344,SERIAL00044,G:HYUNDAI001,industrial
304,VLVSTEM001,BATCH202336,SERIAL00036,Z:CUST006,industrial
205,CLUTCHCYL001,BATCH202324,SERIAL00024,Z:CUST004,industrial
309,STABAR001,BATCH202341,SERIAL00041,Y:241224,industrial
