字段名,分类,分级
user_id,ID类/主键ID,第1级/公开
username,属性类/类别标签,第1级/公开
real_name,属性类/名称标题,第1级/公开
id_card,ID类/主键ID,第4级/机密
phone,身份类/联系方式,第3级/敏感
email,身份类/教育背景,第3级/敏感
bank_card,属性类/类别标签,第4级/机密
account_balance,属性类/类别标签,第3级/敏感
credit_score,属性类/类别标签,第3级/敏感
loan_amount,属性类/类别标签,第1级/公开
monthly_income,属性类/类别标签,第3级/敏感
department,结构类/分类代码,第1级/公开
employee_level,结构类/分类代码,第1级/公开
hire_date,结构类/分类代码,第1级/公开
is_active,属性类/类别标签,第1级/公开
risk_level,属性类/类别标签,第1级/公开
last_login_ip,属性类/地址位置,第1级/公开
password_hash,属性类/类别标签,第4级/机密
transaction_count,属性类/类别标签,第1级/公开
avg_transaction_amount,结构类/标准代码,第1级/公开
